"TIME","GEO","UNIT","SECTOR","INDIC_NA","Value","Flag and Footnotes"
"2006","Spain","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","2.4",""
"2006","France","Percentage of GDP","General government","Interest, payable","2.6",""
"2006","France","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-2.4",""
"2006","Italy","Percentage of GDP","General government","Interest, payable","4.6",""
"2006","Italy","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.4",""
"2006","Portugal","Percentage of GDP","General government","Interest, payable","2.7",""
"2006","Portugal","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-4.1",""
"2006","United Kingdom","Percentage of GDP","General government","Interest, payable","2.1",""
"2006","United Kingdom","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-2.7",""
"2007","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Interest, payable","2.8",""
"2007","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","0.2",""
"2007","Ireland","Percentage of GDP","General government","Interest, payable","1.0",""
"2007","Ireland","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","0.1",""
"2007","Greece","Percentage of GDP","General government","Interest, payable","4.8",""
"2007","Greece","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-6.8",""
"2007","Spain","Percentage of GDP","General government","Interest, payable","1.6",""
"2007","Spain","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","1.9",""
"2007","France","Percentage of GDP","General government","Interest, payable","2.7",""
"2007","France","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-2.8",""
"2007","Italy","Percentage of GDP","General government","Interest, payable","4.9",""
"2007","Italy","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-1.6",""
"2007","Portugal","Percentage of GDP","General government","Interest, payable","3.0",""
"2007","Portugal","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.2",""
"2007","United Kingdom","Percentage of GDP","General government","Interest, payable","2.2",""
"2007","United Kingdom","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-2.8",""
"2008","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Interest, payable","2.8",""
"2008","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-0.1",""
"2008","Ireland","Percentage of GDP","General government","Interest, payable","1.4",""
"2008","Ireland","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-7.3",""
"2008","Greece","Percentage of GDP","General government","Interest, payable","5.1",""
"2008","Greece","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-9.9",""
"2008","Spain","Percentage of GDP","General government","Interest, payable","1.6",""
"2008","Spain","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-4.5",""
"2008","France","Percentage of GDP","General government","Interest, payable","2.9",""
"2008","France","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.3",""
"2008","Italy","Percentage of GDP","General government","Interest, payable","5.1",""
"2008","Italy","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-2.7",""
"2008","Portugal","Percentage of GDP","General government","Interest, payable","3.1",""
"2008","Portugal","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.7",""
"2008","United Kingdom","Percentage of GDP","General government","Interest, payable","2.3",""
"2008","United Kingdom","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-5.0",""
"2009","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Interest, payable","2.7",""
"2009","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-3.2",""
"2009","Ireland","Percentage of GDP","General government","Interest, payable","2.0",""
"2009","Ireland","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-14.2",""
"2009","Greece","Percentage of GDP","General government","Interest, payable","5.1",""
"2009","Greece","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-15.8",""
"2009","Spain","Percentage of GDP","General government","Interest, payable","1.8",""
"2009","Spain","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-11.2",""
"2009","France","Percentage of GDP","General government","Interest, payable","2.4",""
"2009","France","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-7.6",""
"2009","Italy","Percentage of GDP","General government","Interest, payable","4.5",""
"2009","Italy","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-5.4",""
"2009","Portugal","Percentage of GDP","General government","Interest, payable","2.9",""
"2009","Portugal","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-10.2",""
"2009","United Kingdom","Percentage of GDP","General government","Interest, payable","1.9",""
"2009","United Kingdom","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-11.3",""
"2010","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Interest, payable","2.5",""
"2010","Germany (including  former GDR from 1991)","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-4.3",""
"2010","Ireland","Percentage of GDP","General government","Interest, payable","3.1",""
"2010","Ireland","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-31.3",""
"2010","Greece","Percentage of GDP","General government","Interest, payable","5.8",""
"2010","Greece","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-10.8",""
"2010","Spain","Percentage of GDP","General government","Interest, payable","1.9",""
"2010","Spain","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-9.3",""
"2010","France","Percentage of GDP","General government","Interest, payable","2.4",""
"2010","France","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-7.1",""
"2010","Italy","Percentage of GDP","General government","Interest, payable","4.4",""
"2010","Italy","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-4.5",""
"2010","Portugal","Percentage of GDP","General government","Interest, payable","3.0",""
"2010","Portugal","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-9.8",""
"2010","United Kingdom","Percentage of GDP","General government","Interest, payable","2.9",""
"2010","United Kingdom","Percentage of GDP","General government","Net lending (+) /net borrowing (-)","-10.2",""
